#sn	host	hostredshift	hostlumdist[Mpc]	host_ebv[mag]	sn_z	t_0[MJD]
#SN2013df	"NGC4414"	0.002388	21	0.09	0.002388 56447.299
#SN2005bf	"MCG+00-27-05"	0.018913 83.9 0.0384	0.018913	53457
#SN2007gr	"NGC1058"	0.001728 10.6  0.085	0.001728	54325   
#SN2008ax	"NGC4490"	0.001885 10.9 0.022	0.001885	54528.3
#SN2009jf	"NGC7479"	0.0079	 33.88   0.212	0.0079		55099.0
#SN2011bm	"IC3918"	0.021778 95.1 0.032	0.021778	55644.0	
#SN2011dh	"M51"		0.002000 7.8 0.07	0.002		55712.5 # From Ergon 2014-15
#SN2012ap	"NGC1729"	0.0121	 43  0.45	0.0121		55962 # From Milisavljevic
#SN2016coi	"UGC11868"	0.0036	 17.2	0.0645	0.0036		57532.5 # From Yamanaka
SN2008D		"NGC2770"	0.00649	 31	0.0649	0.65		54474.5 # From Mazzali
SN2006aj	"A032139+1652"	0.03345	 145	0.03345	0.13		53784.14861 # From Mirabal 
#SN1994I		"M51"		0.002	 8.31	0.002	0.45		49432.5 # t_0 from iwamoto 
###########Prentice 2016###########
#SN1998bw	"bla"		0.0087	 35.65	0.052	0.0087		50928.89 # From Prentice 2016 compilation. t_0 = t_0_GRB 
#SN1999ex	"bla"		0.0114	 48.75	0.3	0.0114		51480 # t_0 from Stritzinger
#SN2002ap	"bla"		0.0022	 7.94	0.079	0.0022		52302 # From Prentice 2016 compilation. t_0 = t_0_GRB 
#SN2003jd	"bla"		0.019	 76.9	0.15	0.019		52927 # t_0 from Valenti 08
#SN2004aw	"bla"		0.016	 72.77	0.037	0.016		53073.9 # 14d before B-band maximum
#SN2009bb	"bla"		0.00988	39.8	0.58	0.00988		54909.1 # t_0 from pignata
#SN2011hs	"bla"		0.0057	24.1	0.171	0.0057		55871.5 # From Bufano 
#SN2011fu	"bla"		0.019	74.47	0.083	0.019		55824 # t_0 from Garofolo
#SN2011dh	"M51"		0.002	7.87 	0.085	0.002		55712.5 # t_0 From Ergon 2014-15
#SN2011bm	"IC3918"	0.022 	97.7	0.064	0.021778	55643.5	# t_0 from valenti
#SN2012ap	"NGC1729"	0.012	48.97  0.445	0.012		55962 # From Milisavljevic
#SN2012bz	"bla"		0.28	1153.5	0.037	0.28		56029	 # t_0 = t_0_GRB
#SN2013ge	"bla"		0.0044	 23.66	0.067	0.0044		56602.6 # t_0 from Drout 
#SN2013df	"NGC4414"	0.0024	21.37	0.097	0.0024 		56447.299 # 
#SN2013cu 	"bla"		0.026	111.17	0.011	0.026		56414.93 # t_0 From Gal-Yam
#SNiPTF13bvn	"bla"		0.0045	 23.88	0.0715	0.0045		56458 # t_0 from Cao
