## SN 	 z 	 E_B_V_total 	 d [Mpc] 	 t_0 
## SN1999dn 	 0.0093 	 0.152 	 38.547 	 51406.0 
###############BVRI#######################
# t-t_0 	 Lbol [erg/s] 	 log(Lbol) 	 M_ni
9.21 	 9.37824201973e+41 	 41.9721214362 	 [[ 0.02605321]]
12.29 	 1.02157003734e+42 	 42.0092681466 	 [[ 0.03529479]]
18.27 	 9.11422067121e+41 	 41.9597195394 	 [[ 0.04469049]]
21.27 	 8.65250643268e+41 	 41.9371419308 	 [[ 0.04880129]]
26.99 	 6.89896508298e+41 	 41.8387839469 	 [[ 0.04797387]]
29.26 	 6.53467125184e+41 	 41.8152237439 	 [[ 0.04851935]]
30.0 	 5.91188421932e+41 	 41.7717259201 	 [[ 0.04476268]]
33.27 	 5.15752583446e+41 	 41.7124414121 	 [[ 0.04219003]]
52.97 	 2.5245354324e+41 	 41.4021814705 	 [[ 0.02754283]]
78.85 	 1.65646089411e+41 	 41.2191811875 	 [[ 0.02317308]]
79.08 	 1.65756161549e+41 	 41.2194696811 	 [[ 0.02323708]]
#t_peak = 12.29
#L_peak = 1.02157003734e+42
#M_ni = [[ 0.03529479]]
